arm,seed,split,metric,value,n_instances,n_images,ci_low,ci_high,notes
standard_aug,1337,test/low_light,instances.medium,377.0,377,186,,,
standard_aug,1337,test/low_light,instances.large,34.0,34,186,,,
standard_aug,1337,test/low_light,bare_head_recall,0.9878048780487805,164,186,,,iou=0.5
standard_aug,1337,test/low_light,n_detections,55800.0,,186,,,
standard_aug,1337,test/small_object,map,0.3341185070553935,2992,441,,,
standard_aug,1337,test/small_object,map_50,0.5530920356082071,2992,441,,,
standard_aug,1337,test/small_object,map_75,0.3622910288031233,2992,441,,,
standard_aug,1337,test/small_object,map_small,0.28760091933156795,2079,441,,,
standard_aug,1337,test/small_object,map_medium,0.4410712511160851,891,441,,,
standard_aug,1337,test/small_object,map_large,0.41038110764338626,25,441,,,
standard_aug,1337,test/small_object,mar_1,0.09774567399133478,2992,441,,,
standard_aug,1337,test/small_object,mar_10,0.45632680733542164,2992,441,,,
standard_aug,1337,test/small_object,mar_100,0.6015535304516045,2992,441,,,
standard_aug,1337,test/small_object,mar_small,0.479710175884375,2079,441,,,
standard_aug,1337,test/small_object,mar_medium,0.6864199083195548,891,441,,,
standard_aug,1337,test/small_object,mar_large,0.8052777777777778,25,441,,,
standard_aug,1337,test/small_object,ap.helmet,0.4793230342697095,2069,441,,,
standard_aug,1337,test/small_object,ap.head,0.4986842379210468,844,441,,,
standard_aug,1337,test/small_object,ap.person,0.02434824897542404,79,441,,,
standard_aug,1337,test/small_object,ap_small.helmet,0.4169146867078151,1449,441,,,
standard_aug,1337,test/small_object,ap_small.head,0.4419102825073342,608,441,,,
standard_aug,1337,test/small_object,ap_small.person,0.003977788779554404,22,441,,,
standard_aug,1337,test/small_object,primary_map,0.48900363609537817,2913,441,,,
standard_aug,1337,test/small_object,primary_map_small,0.42941248460757464,2057,441,,,
standard_aug,1337,test/small_object,instances.all,2992.0,2992,441,,,
standard_aug,1337,test/small_object,instances.small,2079.0,2079,441,,,
standard_aug,1337,test/small_object,instances.medium,891.0,891,441,,,
standard_aug,1337,test/small_object,instances.large,25.0,25,441,,,
standard_aug,1337,test/small_object,bare_head_recall,0.9869668246445498,844,441,,,iou=0.5
standard_aug,1337,test/small_object,n_detections,132300.0,,441,,,
unfiltered_syn,1337,test,map,0.3091283301636843,3817,744,,,
unfiltered_syn,1337,test,map_50,0.5072145997151861,3817,744,,,
unfiltered_syn,1337,test,map_75,0.3356610437054401,3817,744,,,
unfiltered_syn,1337,test,map_small,0.2506275413273255,2079,744,,,
unfiltered_syn,1337,test,map_medium,0.4113787787089736,1583,744,,,
unfiltered_syn,1337,test,map_large,0.39443478450376945,158,744,,,
unfiltered_syn,1337,test,mar_1,0.11274841013353197,3817,744,,,
unfiltered_syn,1337,test,mar_10,0.48138247740627765,3817,744,,,
unfiltered_syn,1337,test,mar_100,0.6272463143623251,3817,744,,,
unfiltered_syn,1337,test,mar_small,0.4626285706305729,2079,744,,,
unfiltered_syn,1337,test,mar_medium,0.6804619508101578,1583,744,,,
unfiltered_syn,1337,test,mar_large,0.798844672657253,158,744,,,
unfiltered_syn,1337,test,ap.helmet,0.41179849853209594,2825,744,,,
unfiltered_syn,1337,test,ap.head,0.5075530944009348,879,744,,,
unfiltered_syn,1337,test,ap.person,0.008033397558022324,113,744,,,
unfiltered_syn,1337,test,ap_small.helmet,0.29562554255616097,1449,744,,,
unfiltered_syn,1337,test,ap_small.head,0.4561212597064738,608,744,,,
unfiltered_syn,1337,test,ap_small.person,0.00013582171934178208,22,744,,,
unfiltered_syn,1337,test,primary_map,0.45967579646651535,3704,744,,,
unfiltered_syn,1337,test,primary_map_small,0.3758734011313174,2057,744,,,
unfiltered_syn,1337,test,instances.all,3817.0,3817,744,,,
unfiltered_syn,1337,test,instances.small,2079.0,2079,744,,,
unfiltered_syn,1337,test,instances.medium,1583.0,1583,744,,,
unfiltered_syn,1337,test,instances.large,158.0,158,744,,,
unfiltered_syn,1337,test,bare_head_recall,0.9897610921501706,879,744,,,iou=0.5
unfiltered_syn,1337,test,n_detections,223200.0,,744,,,
unfiltered_syn,1337,test,real_image_exposures,24.91,,744,,,TRAIN-07 equal-step budget: times each real training image was seen. Not a Test-set quantity
unfiltered_syn,1337,test,total_steps,10900.0,,744,,,"optimizer steps, from run_record.json"
unfiltered_syn,1337,test/crowded,map,0.3244999378367545,1872,152,,,
unfiltered_syn,1337,test/crowded,map_50,0.5406607819034793,1872,152,,,
unfiltered_syn,1337,test/crowded,map_75,0.3468911776126634,1872,152,,,
unfiltered_syn,1337,test/crowded,map_small,0.2797148951471452,1316,152,,,
unfiltered_syn,1337,test/crowded,map_medium,0.4433308077368412,544,152,,,
unfiltered_syn,1337,test/crowded,map_large,0.33673744847782106,15,152,,,
unfiltered_syn,1337,test/crowded,mar_1,0.05248470867623023,1872,152,,,
unfiltered_syn,1337,test/crowded,mar_10,0.3660115294423402,1872,152,,,
unfiltered_syn,1337,test/crowded,mar_100,0.5412709961385727,1872,152,,,
unfiltered_syn,1337,test/crowded,mar_small,0.45870799575521287,1316,152,,,
unfiltered_syn,1337,test/crowded,mar_medium,0.6542614523395334,544,152,,,
unfiltered_syn,1337,test/crowded,mar_large,0.7625,15,152,,,
unfiltered_syn,1337,test/crowded,ap.helmet,0.4507811230898928,1175,152,,,
unfiltered_syn,1337,test/crowded,ap.head,0.5157772692683206,661,152,,,
unfiltered_syn,1337,test/crowded,ap.person,0.006941421152050155,36,152,,,
unfiltered_syn,1337,test/crowded,ap_small.helmet,0.37292840319266585,793,152,,,
unfiltered_syn,1337,test/crowded,ap_small.head,0.46566026569524854,501,152,,,
unfiltered_syn,1337,test/crowded,ap_small.person,0.0005560165535211795,22,152,,,
unfiltered_syn,1337,test/crowded,primary_map,0.4832791961791067,1836,152,,,
unfiltered_syn,1337,test/crowded,primary_map_small,0.4192943344439572,1294,152,,,
unfiltered_syn,1337,test/crowded,instances.all,1872.0,1872,152,,,
unfiltered_syn,1337,test/crowded,instances.small,1316.0,1316,152,,,
unfiltered_syn,1337,test/crowded,instances.medium,544.0,544,152,,,
unfiltered_syn,1337,test/crowded,instances.large,15.0,15,152,,,
unfiltered_syn,1337,test/crowded,bare_head_recall,0.9863842662632375,661,152,,,iou=0.5
unfiltered_syn,1337,test/crowded,n_detections,45600.0,,152,,,
unfiltered_syn,1337,test/low_light,map,0.31508659890847446,856,186,,,
unfiltered_syn,1337,test/low_light,map_50,0.5056960384823695,856,186,,,
unfiltered_syn,1337,test/low_light,map_75,0.3579180887532905,856,186,,,
unfiltered_syn,1337,test/low_light,map_small,0.38838595532275144,445,186,,,
unfiltered_syn,1337,test/low_light,map_medium,0.3920912270650229,377,186,,,
unfiltered_syn,1337,test/low_light,map_large,0.43522635247628894,34,186,,,
unfiltered_syn,1337,test/low_light,mar_1,0.13178281989571905,856,186,,,
unfiltered_syn,1337,test/low_light,mar_10,0.5125596953545155,856,186,,,
unfiltered_syn,1337,test/low_light,mar_100,0.6757098278471172,856,186,,,
unfiltered_syn,1337,test/low_light,mar_small,0.6103082851637766,445,186,,,
unfiltered_syn,1337,test/low_light,mar_medium,0.6841510341510341,377,186,,,
unfiltered_syn,1337,test/low_light,mar_large,0.7985714285714285,34,186,,,
unfiltered_syn,1337,test/low_light,ap.helmet,0.4063840305637641,679,186,,,
unfiltered_syn,1337,test/low_light,ap.head,0.526189721176449,164,186,,,
unfiltered_syn,1337,test/low_light,ap.person,0.012686044985210301,13,186,,,
unfiltered_syn,1337,test/low_light,ap_small.helmet,0.3323241117734003,346,186,,,
unfiltered_syn,1337,test/low_light,ap_small.head,0.4444477988721025,99,186,,,
unfiltered_syn,1337,test/low_light,ap_small.person,-1.0,0,186,,,
unfiltered_syn,1337,test/low_light,primary_map,0.46628687587010653,843,186,,,
unfiltered_syn,1337,test/low_light,primary_map_small,0.38838595532275144,445,186,,,
unfiltered_syn,1337,test/low_light,instances.all,856.0,856,186,,,
unfiltered_syn,1337,test/low_light,instances.small,445.0,445,186,,,
unfiltered_syn,1337,test/low_light,instances.medium,377.0,377,186,,,
unfiltered_syn,1337,test/low_light,instances.large,34.0,34,186,,,
unfiltered_syn,1337,test/low_light,bare_head_recall,0.9939024390243902,164,186,,,iou=0.5
unfiltered_syn,1337,test/low_light,n_detections,55800.0,,186,,,
unfiltered_syn,1337,test/small_object,map,0.3066560107805621,2992,441,,,
unfiltered_syn,1337,test/small_object,map_50,0.5101819164334206,2992,441,,,
unfiltered_syn,1337,test/small_object,map_75,0.32864615919941353,2992,441,,,
unfiltered_syn,1337,test/small_object,map_small,0.25896584023501446,2079,441,,,
unfiltered_syn,1337,test/small_object,map_medium,0.4284029799647792,891,441,,,
unfiltered_syn,1337,test/small_object,map_large,0.31187852716624465,25,441,,,
unfiltered_syn,1337,test/small_object,mar_1,0.08721105289822016,2992,441,,,
unfiltered_syn,1337,test/small_object,mar_10,0.4400614641354753,2992,441,,,
unfiltered_syn,1337,test/small_object,mar_100,0.5913781867541926,2992,441,,,
unfiltered_syn,1337,test/small_object,mar_small,0.4626285706305729,2079,441,,,
unfiltered_syn,1337,test/small_object,mar_medium,0.6808198656365544,891,441,,,
unfiltered_syn,1337,test/small_object,mar_large,0.8008333333333334,25,441,,,
unfiltered_syn,1337,test/small_object,ap.helmet,0.3971059089123333,2069,441,,,
unfiltered_syn,1337,test/small_object,ap.head,0.5160574801286406,844,441,,,
unfiltered_syn,1337,test/small_object,ap.person,0.0068046433007125,79,441,,,
unfiltered_syn,1337,test/small_object,ap_small.helmet,0.31871063701076324,1449,441,,,
unfiltered_syn,1337,test/small_object,ap_small.head,0.45798728271414824,608,441,,,
unfiltered_syn,1337,test/small_object,ap_small.person,0.00019960098013184266,22,441,,,
unfiltered_syn,1337,test/small_object,primary_map,0.45658169452048697,2913,441,,,
unfiltered_syn,1337,test/small_object,primary_map_small,0.38834895986245577,2057,441,,,
unfiltered_syn,1337,test/small_object,instances.all,2992.0,2992,441,,,
unfiltered_syn,1337,test/small_object,instances.small,2079.0,2079,441,,,
unfiltered_syn,1337,test/small_object,instances.medium,891.0,891,441,,,
unfiltered_syn,1337,test/small_object,instances.large,25.0,25,441,,,
unfiltered_syn,1337,test/small_object,bare_head_recall,0.9893364928909952,844,441,,,iou=0.5
unfiltered_syn,1337,test/small_object,n_detections,132300.0,,441,,,
filtered_syn,1337,test,map,0.32631180763879675,3817,744,,,
filtered_syn,1337,test,map_50,0.5389767255084521,3817,744,,,
filtered_syn,1337,test,map_75,0.3512430766822792,3817,744,,,
filtered_syn,1337,test,map_small,0.24524660123793054,2079,744,,,
filtered_syn,1337,test,map_medium,0.4240754398751948,1583,744,,,
filtered_syn,1337,test,map_large,0.5070084230602189,158,744,,,
filtered_syn,1337,test,mar_1,0.10913697182035095,3817,744,,,
filtered_syn,1337,test,mar_10,0.48277908994197616,3817,744,,,
filtered_syn,1337,test,mar_100,0.6092867129112259,3817,744,,,
filtered_syn,1337,test,mar_small,0.4686306338694782,2079,744,,,
filtered_syn,1337,test,mar_medium,0.6546495733534107,1583,744,,,
filtered_syn,1337,test,mar_large,0.7771002710027102,158,744,,,
filtered_syn,1337,test,ap.helmet,0.4794771830925097,2825,744,,,
filtered_syn,1337,test,ap.head,0.49204848973212423,879,744,,,
filtered_syn,1337,test,ap.person,0.0074097500917561605,113,744,,,
filtered_syn,1337,test,ap_small.helmet,0.29944104363678226,1449,744,,,
filtered_syn,1337,test,ap_small.head,0.43342704546253835,608,744,,,
